local_time,gpu_index,gpu_name,memory_used_mb,memory_total_mb,gpu_util_percent
2026/06/24 20:12:37.965,0,NVIDIA GeForce RTX 5090,5650,32607,40
2026/06/24 20:12:39.065,0,NVIDIA GeForce RTX 5090,5650,32607,37
2026/06/24 20:12:40.177,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:12:41.273,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:12:42.373,0,NVIDIA GeForce RTX 5090,5650,32607,28
2026/06/24 20:12:43.432,0,NVIDIA GeForce RTX 5090,5650,32607,7
2026/06/24 20:12:44.529,0,NVIDIA GeForce RTX 5090,5650,32607,27
2026/06/24 20:12:45.587,0,NVIDIA GeForce RTX 5090,5650,32607,40
2026/06/24 20:12:46.665,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:12:47.761,0,NVIDIA GeForce RTX 5090,5650,32607,32
2026/06/24 20:12:48.865,0,NVIDIA GeForce RTX 5090,5650,32607,29
2026/06/24 20:12:49.969,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:12:51.024,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:12:52.129,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:12:53.234,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:12:54.287,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:12:55.365,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:12:56.424,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:12:57.529,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:12:58.592,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:12:59.693,0,NVIDIA GeForce RTX 5090,5650,32607,44
2026/06/24 20:13:00.752,0,NVIDIA GeForce RTX 5090,5650,32607,38
2026/06/24 20:13:01.857,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:13:02.953,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:13:04.050,0,NVIDIA GeForce RTX 5090,5650,32607,34
2026/06/24 20:13:05.160,0,NVIDIA GeForce RTX 5090,5650,32607,25
2026/06/24 20:13:06.254,0,NVIDIA GeForce RTX 5090,5650,32607,20
2026/06/24 20:13:07.361,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:13:08.419,0,NVIDIA GeForce RTX 5090,5650,32607,35
2026/06/24 20:13:09.475,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 20:13:10.532,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:13:11.637,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:13:12.729,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:13:13.821,0,NVIDIA GeForce RTX 5090,5650,32607,41
2026/06/24 20:13:14.921,0,NVIDIA GeForce RTX 5090,5650,32607,23
2026/06/24 20:13:15.980,0,NVIDIA GeForce RTX 5090,5650,32607,40
2026/06/24 20:13:17.073,0,NVIDIA GeForce RTX 5090,5650,32607,33
2026/06/24 20:13:18.127,0,NVIDIA GeForce RTX 5090,5650,32607,30
2026/06/24 20:13:19.209,0,NVIDIA GeForce RTX 5090,5650,32607,39
2026/06/24 20:13:20.280,0,NVIDIA GeForce RTX 5090,5650,32607,36
2026/06/24 20:13:21.332,0,NVIDIA GeForce RTX 5090,5650,32607,21
2026/06/24 20:13:22.429,0,NVIDIA GeForce RTX 5090,5650,32607,31
2026/06/24 20:13:23.529,0,NVIDIA GeForce RTX 5090,5650,32607,40
